"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.ngg1";"checkpoint.nubw";"checkpoint.t5ey";"Question.Key";"Response"
"3";1593699240711;"02/07/2020 14:14:00";1593699264996;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"2"
"4";1593699240711;"02/07/2020 14:14:00";1593699264997;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"age";"20"
"5";1593699240711;"02/07/2020 14:14:00";1593699264997;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593699240711;"02/07/2020 14:14:00";1593699264997;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593699240711;"02/07/2020 14:14:00";1593699264997;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593699240711;"02/07/2020 14:14:00";1593699264997;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"response-3";"english"
"9";1593699240711;"02/07/2020 14:14:00";1593699264998;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"country";"england "
"10";1593699240711;"02/07/2020 14:14:00";1593699264998;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"education";"Some university/higher education but no degree"
"11";1593699240711;"02/07/2020 14:14:00";1593699264998;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"4"
"12";1593699240711;"02/07/2020 14:14:00";1593699264999;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"13";1593699240711;"02/07/2020 14:14:00";1593699264999;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
"14";1593699240711;"02/07/2020 14:14:00";1593699264999;1;"02/07/2020 15:14:24";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"comment";""
"15";1593699240711;"02/07/2020 14:14:00";1593699265000;1;"02/07/2020 15:14:25";18619;2;"questionnaire-b579";NA;5872873;"5e74d33de889080242f860b0";1652685;NA;"complete";NA;"5efde022682c4c25f2e027e8";"computer";"Desktop or Laptop";"Mac OS 10.11.6";"Chrome 83.0.4103.97";"1440x900";"1440x821";"demographics done";"demographic";4;"BRAC2_horiLL_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"27206"
"1";1593701040198;"02/07/2020 14:44:00";1593701043412;2;"02/07/2020 16:44:03";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1920x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593701085266;"02/07/2020 14:44:45";1593701088521;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"sex";"male"
"3";1593701085374;"02/07/2020 14:44:45";1593701088522;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"4";1593701085374;"02/07/2020 14:44:45";1593701088522;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"age";"19"
"5";1593701085374;"02/07/2020 14:44:45";1593701088522;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593701085374;"02/07/2020 14:44:45";1593701088522;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593701085374;"02/07/2020 14:44:45";1593701088522;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"45112"
"9";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"country";"Poland"
"10";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"education";"High school diploma"
"11";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"3"
"12";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Some knowledge as amateur"
"13";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"2"
"14";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"comment";"After 2nd block it got kinda relaxing :P"
"15";1593701085374;"02/07/2020 14:44:45";1593701088523;2;"02/07/2020 16:44:48";18619;2;"questionnaire-b579";NA;5873465;"5e569011c0486f03a51801b5";1652889;NA;"complete";NA;"5efdec3638255907b05e0b6a";"computer";"Desktop or Laptop";"Windows 7";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiAA_1st300";"Consents given";"exp done";"demographics done";"response-3";"Polish"
"1";1593702038179;"02/07/2020 15:00:38";1593702045396;2;"02/07/2020 17:00:45";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1536x775";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593702104888;"02/07/2020 15:01:44";1593702112185;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"sex";"male"
"3";1593702104997;"02/07/2020 15:01:44";1593702112187;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"4";1593702104997;"02/07/2020 15:01:44";1593702112187;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"age";"34"
"5";1593702104997;"02/07/2020 15:01:44";1593702112187;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"response-3";"polish"
"9";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"country";"Poland"
"10";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"education";"Bachelor degree"
"11";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"5"
"12";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Some knowledge as amateur"
"13";1593702104997;"02/07/2020 15:01:44";1593702112188;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"2"
"14";1593702104997;"02/07/2020 15:01:44";1593702112189;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"comment";""
"15";1593702104997;"02/07/2020 15:01:44";1593702112189;2;"02/07/2020 17:01:52";18619;2;"questionnaire-b579";NA;5873770;"5e95f879f4d19b04d6187052";1653014;NA;"complete";NA;"5efde01d15ba8725066f1b9a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"761x388";"demographics done";"demographic";4;"BRAC2_vertLA_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"66793"
"1";1593702771857;"02/07/2020 15:12:51";1593702771745;2;"02/07/2020 17:12:51";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1536x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593702835937;"02/07/2020 15:13:55";1593702835869;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"sex";"male"
"3";1593702836046;"02/07/2020 15:13:56";1593702835871;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"4";1593702836046;"02/07/2020 15:13:56";1593702835871;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"age";""
"5";1593702836046;"02/07/2020 15:13:56";1593702835872;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593702836046;"02/07/2020 15:13:56";1593702835872;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593702836046;"02/07/2020 15:13:56";1593702835872;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593702836046;"02/07/2020 15:13:56";1593702835873;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-3";"Hungarian"
"9";1593702836046;"02/07/2020 15:13:56";1593702835873;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"country";"Hungary"
"10";1593702836046;"02/07/2020 15:13:56";1593702835875;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"education";"Bachelor degree"
"11";1593702836046;"02/07/2020 15:13:56";1593702835875;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"education-quantised";"5"
"12";1593702836046;"02/07/2020 15:13:56";1593702835876;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge";"Not at all"
"13";1593702836046;"02/07/2020 15:13:56";1593702835876;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"psyKnowledge-quantised";"1"
"14";1593702836046;"02/07/2020 15:13:56";1593702835877;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"comment";"It was a fun study, good luck with the experiment! ;)"
"15";1593702836046;"02/07/2020 15:13:56";1593702835877;2;"02/07/2020 17:13:55";18619;2;"questionnaire-b579";NA;5873973;"5db974ac2f6766000d3fd03e";1653080;NA;"complete";NA;"5efdf2ee2ef7d909f81d7ef3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1536x864";"1519x864";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"64133"
"1";1593698962306;"02/07/2020 14:09:22";1593698966390;1;"02/07/2020 15:09:26";18619;2;"questionnaire-b579";NA;5872771;"5cacd129abf37b0015a49f71";1652639;NA;"complete";NA;"5efde0ba82ecbb25a0253e8a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1366x768";"1366x657";"demographics done";"demographic";4;"BRAC2_horiAL_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593699017037;"02/07/2020 14:10:17";1593699021216;1;"02/07/2020 15:10:21";18619;2;"questionnaire-b579";NA;5872771;"5cacd129abf37b0015a49f71";1652639;NA;"complete";NA;"5efde0ba82ecbb25a0253e8a";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1366x768";"1349x657";"demographics done";"demographic";4;"BRAC2_horiAL_1st300";"Consents given";"exp done";"demographics done";"sex";"female"
